id,label,f.meanSpeed,f.sdSpeed,f.minSpeed,f.maxSpeed,f.meanAcc,f.sdAcc,f.minAcc,f.maxAcc
id1,normal,2.62323576904905,2.22845605426647,0.5,8.22534193818105,-0.0536600203380928,1.83947548519421,-5.5327595346138,3.5
id2,normal,5.9848588511909,3.82027009489325,1.4142135623731,15.101738310539,-0.0387046831579829,2.66007260986892,-7.27393159539786,7.05859373742063
id3,normal,16.6087156884513,14.5020416437358,0.707106781186548,46.4246701657642,-1.00019596963405,12.8903862617129,-24.3202979002338,30.7146238400669
id5,normal,4.8086078704352,4.13738717152485,0.5,17.2046505340853,-0.281815198640554,5.22820904938307,-12.2046505340853,15.6235117040011
id6,normal,17.7857472205773,9.92672946415531,3.35410196624968,44.2408182564473,-0.53753379849126,11.2724723706424,-22.1780673554096,21.7686132022031
id7,normal,9.84842240477889,6.0262287862758,0,33.3241654059033,-0.105555611360499,6.69268836955677,-31.2626125930944,11.6835613096537
id8,normal,7.60560353662059,5.68208872790827,1.43178210632762,20.573040611441,0.30171837390741,6.51912449513964,-10.3215498358488,17.5249843945008
id9,normal,9.69568978934019,5.85272426160837,2.5,20.2021038508369,1.16812575144641,6.11784637520284,-7.76638292546236,10.9011030929998
id10,normal,10.7192545173581,6.90829532401273,2.06155281280883,41.599278839903,-1.04210533985821,6.99195579676026,-23.099278839903,11.9529890357892
id11,normal,5.91996308226645,3.96454345812988,0,15.0416089564913,0.136641905489992,4.21828312674779,-9.34020143818255,11.8004237212059
id13,normal,9.64374062441327,5.20865296377813,1.80277563773199,21.8403296678416,-0.116162577002826,5.58934197362691,-9.93597533538534,15.0415654474009
id14,normal,8.98482562883864,5.47486164439225,1,22.6384628453435,-0.705280777377778,5.27799786933502,-12.2196083945747,13.0089257261219
id15,normal,13.2276904311192,12.1918388624673,1.4142135623731,53.1648380040793,-3.51855094043757,12.3669047881887,-42.5436327993957,10.1754291384017
id16,normal,4.61888805157745,4.43202631977635,0.707106781186548,16.5210303687284,-0.466242426507874,3.1953025543482,-13.9824393334404,4.69722436226801
id17,normal,9.42096604802955,5.44291625615344,0.5,25.1644590643232,-0.121819637950151,7.53021565052742,-20.1991189256323,15.1423742091277
id18,normal,9.5615523372667,5.89174061420731,1.4142135623731,23.259406699226,0.0864592354881957,8.74335389840824,-13.9588690803569,21.259406699226
id19,normal,8.25411255067475,5.39835845118679,1.11803398874989,20.5060966544099,0.255622576491397,5.9657839001706,-14.4233341241117,11.5674933690255
id20,normal,3.57893874438728,3.15197923296523,0,18.0693109995927,-0.0238295616674532,3.36068243156194,-9.770302782157,15.15383505217
id21,normal,4.4981203717026,2.98872496098194,0.707106781186548,10.1242283656583,0.0208293649893774,2.69428442959376,-6.3115866765038,6.20060973342834
